LASTGIFT,AVGGIFT,Donation
5,4.857142857,Low
12,9.4,Low
5,4.285714286,Low
10,7.3,Low
20,10.69230769,Low
7,9.576923077,High
10,9,Low
7,6,Low
3,3.659090909,Low
10,8,Low
7,4.344827586,High
10,9.090909091,Low
42,31.75,High
10,13.6,High
5,3.62962963,Low
5,8.833333333,Low
13,17.5,Low
20,11.9,High
15,15,High
10,10.0625,Low
15,13.46153846,Low
20,9.444444444,Low
10,5.166666667,Low
5,4.722222222,Low
2,2.260869565,Low
16,13,High
5,6,Low
25,12,High
10,6,Low
20,14.8,High
6,4.344827586,Low
15,13.71428571,High
13,11.71428571,High
5,4.7,Low
15,9.55,High
15,8,High
6,7.6,Low
12,11,High
11,9.3,High
7,7.333333333,Low
25,14.38461539,High
20,20,High
10,6.75,Low
10,6.363636364,Low
3,7.692307692,Low
4,4.533333333,Low
15,14.22222222,High
20,12.5,High
15,10,Low
6,4.217391304,Low
30,30,High
3,4.9,Low
10,10.81818182,Low
7,7.136363636,Low
13,11.5,High
10,9.428571429,High
20,20,High
20,15,High
10,4.285714286,Low
10,8.75,Low
22,10.81818182,High
5,4.434782609,Low
10,9.0625,Low
7,6.181818182,Low
15,13.38888889,High
19,12.2,High
10,5.111111111,Low
20,20,High
16,12.5,High
10,6.266666667,Low
20,20,High
6,5.181818182,Low
12,8.333333333,High
15,12.5,High
6,5.666666667,Low
20,20,High
5,5.055555556,Low
6,3.722222222,Low
5,5.12,Low
10,5.403846154,Low
5,3.727272727,Low
5,5.666666667,High
10,6.098901099,Low
12,8.666666667,High
6,6.166666667,Low
15,10.09090909,Low
5,3.613636364,Low
10,6.919354839,Low
15,10.57692308,High
20,20,High
12,6.846153846,High
7,3.857142857,Low
5,5.071428571,Low
12,11.33333333,High
20,20,High
5,4.473684211,Low
7,8,Low
10,11.55555556,High
22,17.18181818,High
20,12.5,High
32,32.33333333,High
13,8.133333333,High
18,15.77777778,High
7,5.466666667,Low
6,4.4,Low
7,5.5,Low
10,7.285714286,Low
5,6.538461539,Low
20,11.83333333,High
5,5.279069767,Low
7,7,Low
20,26.25,High
16,12,High
20,13.16666667,High
20,15,High
25,21.69230769,High
5,8.916666667,Low
13,12.6,High
6,5.5,Low
5,6.04,Low
14,9.2,High
10,7.038461539,High
12,8.043478261,High
10,6.4,Low
5,3.782608696,Low
13,9.462962963,High
17,16.33333333,High
3,3.3125,Low
10,11.25,Low
7,7.333333333,High
11,7.466666667,Low
4,4.090909091,Low
6,3.857142857,Low
15,15.66666667,High
15,11.85714286,Low
25,15.2173913,High
6,5.8,Low
10,10,Low
10,8.75,High
15,11.1,High
5,5.166666667,Low
24,11.33333333,Low
10,6,Low
15,11.42857143,High
7,6.333333333,Low
14,9.47125,High
15,20,Low
5,4.923076923,Low
14,11.94444444,High
10,9.1875,Low
50,35,High
5,4.833333333,Low
15,9.857142857,High
15,8.076923077,High
20,13.63636364,High
11,9.0625,High
10,8,Low
40,23.66666667,High
10,6.352941177,Low
15,13.71428571,High
7,6,Low
15,7.833333333,Low
15,9.269230769,Low
15,11.18918919,High
28,17.88888889,High
15,8.666666667,High
20,20,High
23,16.27272727,High
3,4.222222222,Low
7,6.6,High
10,9.75862069,Low
20,20,High
10,9,Low
15,15,High
5,5.846153846,Low
20,16,High
15,15,High
12,8.916666667,Low
15,10.81818182,High
10,9.666666667,Low
26,14.07692308,High
11,7.818181818,Low
25,22.5,High
18,11.3125,High
16,11.46153846,High
8,5,Low
15,12.5,High
10,10,Low
10,7.214285714,Low
20,12.05555556,High
12,7.444444444,High
15,11.54545455,High
3,5.142857143,Low
10,7.857142857,Low
7,6,Low
5,4.777777778,Low
10,4.571428571,Low
3,3.035714286,Low
10,7.333333333,Low
10,7.84375,High
25,24,High
5,5.8,High
16,12.80769231,High
15,14.86666667,Low
6,5.9375,Low
5,15,Low
3,4,Low
6,6.6,High
35,22.38095238,High
15,12.92307692,High
5,8.642857143,High
10,10.71428571,High
25,15.0625,High
5,4.272727273,High
10,5.5,High
3,3.106060606,Low
20,20,High
6,3.818181818,Low
25,25,High
6,4.5,Low
4,5,Low
30,13,High
5,8.333333333,Low
15,15,High
4,3.411764706,Low
6,6.6,Low
8,7,Low
13,13.25,High
9,7.2,Low
19,13.42857143,High
7,7.666666667,Low
10,7.571428571,Low
5,6.1,Low
7,3.75,Low
3,3.727272727,Low
17,10.7,High
50,30.75,High
20,15,High
6,5.611111111,Low
27,22.25,High
6,4.590909091,Low
10,10,Low
10,8.434782609,Low
15,11.85714286,High
10,7.833333333,Low
5,4.842105263,Low
5,7.75,Low
15,15,Low
25,19.47058824,High
15,10,High
8,7.823529412,Low
19,12.85714286,High
14,8.75,High
5,5.333333333,Low
10,6.25,Low
19,10.62921348,High
20,10.75,High
10,8,Low
15,13.66666667,High
10,4.576923077,Low
5,5.375,Low
10,10,Low
10,7,Low
3,3.642857143,Low
8,7.428571429,Low
10,6.8,Low
5,2.445945946,Low
7,7.333333333,High
10,6,Low
13,11.22727273,High
11,8.864864865,High
10,6.666666667,Low
15,11.66666667,High
20,13,High
10,7.666666667,Low
25,22.5,High
10,8.142857143,Low
5,7.333333333,Low
7,4.272727273,Low
5,3.55,Low
20,11.66666667,Low
10,5.615384615,Low
5,5.357142857,Low
7,6.75,Low
15,7.3,Low
12,8.454545455,High
5,6.5,Low
8,6.590909091,Low
10,7.75,Low
10,5.636363636,High
50,50,High
10,7.444444444,Low
5,4.6,Low
4,5.142857143,Low
20,18.75,High
11,11.4,Low
15,12.5,Low
9,9,Low
15,12.85714286,High
10,10.70588235,Low
10,7.6875,Low
20,15,High
4,6.189189189,Low
10,6.727272727,High
5,4.714285714,Low
10,4.722222222,Low
13,10.44444444,High
20,20,Low
5,6,Low
5,4.285714286,Low
3,4,Low
25,14.625,High
20,12.30769231,High
5,4.857142857,Low
5,5,Low
13,9.923076923,High
10,5.235294118,Low
10,9.857142857,High
10,5.484848485,Low
11,8.266666667,High
5,4.1,Low
9,8,Low
10,6.875,Low
10,5.785714286,Low
15,13.125,High
5,3.461538462,Low
10,10.8,High
7,3.642857143,Low
25,25,High
6,5.571428571,Low
15,11.53333333,High
1,4,Low
8,7.923076923,Low
4,4.958333333,Low
25,25,High
7,5.8,Low
10,8.125,Low
9,7.25,Low
5,5,Low
5,4.590909091,Low
10,11.25,High
10,7.785714286,Low
8,8.461538462,High
5,4.285714286,Low
14,8.565217391,High
5,4.838709677,Low
5,5.444444444,Low
10,8,Low
10,5.655172414,Low
17,8.166666667,High
6,5,Low
10,8.230769231,Low
10,5.625,High
15,11,Low
19,13.875,High
10,13.33333333,Low
20,24.11538462,High
5,2.588235294,Low
10,9.071428571,Low
40,42.08333333,High
10,7.826086957,Low
6,5.5,Low
10,7.8,Low
8,10,High
5,4.476190476,Low
20,20,High
20,16.75,High
10,9.125,High
2,2.463414634,Low
15,9.4,High
10,9.6875,High
5,4.2,Low
5,6.25,Low
15,10,High
15,12.83333333,High
5,4.142857143,Low
20,21.875,High
6,5.052631579,Low
10,2.636363636,Low
15,14.28571429,High
13,7,High
10,9.111111111,High
6,5.222222222,Low
7,6.5625,Low
7,6.2,Low
13,9.714285714,Low
5,3.8125,Low
20,20,High
3,8,Low
9,8.833333333,Low
11,9,High
10,10.96818182,Low
15,9.631578947,High
15,15,Low
20,12.53333333,High
7,7.230769231,Low
12,9.5,High
15,5.194444444,High
15,8.555555556,High
10,8.5,High
5,5.285714286,Low
12,8.5,High
5,4.4,Low
11,8.333333333,Low
5,10,Low
15,10.4,High
12,9,High
20,17.09090909,High
3,4.125,Low
15,15,High
50,22.5,High
9,7.428571429,Low
7,3.8,Low
6,6.5,Low
10,12.28571429,High
10,7.375,Low
8,6.588235294,Low
15,10,High
5,4.25,Low
6,4.863636364,Low
10,7.583333333,Low
20,15,High
3,2.883333333,Low
6,5.5,Low
10,6.25,Low
12,11.33333333,Low
4,4.105769231,Low
32,17.66666667,High
6,12.9,High
5,4.302325581,Low
7,5.25,Low
20,11.26666667,Low
5,5.05,Low
15,10,High
24,12.5,High
5,5.272727273,Low
14,8.058823529,High
20,10.55172414,Low
20,12.66666667,High
10,8.473684211,High
10,12.92857143,High
20,10,High
11,8.615384615,Low
6,6.5,Low
3,3.35516129,Low
20,15.33333333,High
16,13.5,High
10,5,Low
15,12.14285714,High
5,4,Low
5,3.0625,Low
8,6.357142857,High
5,4.142857143,Low
15,13.2,High
8,6.111111111,High
8,6.153846154,Low
15,11.33333333,High
6,4.3125,Low
3,3.444444444,Low
50,37.2,High
8,7.6875,Low
8,9.517241379,Low
32,15.66666667,High
20,11.85714286,High
7,6.466666667,High
7,5.833333333,Low
7,5.95945946,Low
10,5.3,Low
20,15.33333333,Low
12,8.578947368,Low
10,7.076923077,Low
7,6.84375,Low
25,16.5,High
3,3.444444444,Low
5,6.4,Low
5,8.0625,High
12,4.416666667,Low
31,26.57142857,High
7,5.1,High
9,9.071428571,Low
6,5.5,Low
15,10,Low
16,9,High
12,12.66666667,High
15,14.07142857,High
20,14.5,High
8,6.3125,Low
5,4.5,Low
60,8.887714286,High
5,4.5,Low
12,10.66666667,High
10,8.666666667,Low
10,7.523809524,Low
10,7.846153846,Low
4,4.5,Low
10,9.722222222,Low
10,9.166666667,Low
20,9.25,High
5,4.833333333,Low
10,10.4,High
4,4.111111111,Low
10,7.5,Low
3,5.055555556,Low
14,11.05882353,High
15,11.625,High
10,9.714285714,High
14,7.4,Low
10,6,Low
90,16.86666667,High
5,3.555555556,Low
20,20,High
40,20,High
10,7.375,High
26,15.4375,High
10,6.846153846,High
20,17.71428571,High
50,24.22222222,High
15,10.25,High
28,32.41666667,High
10,7.619047619,Low
6,6.933333333,Low
5,5.947368421,Low
14,8.826086957,Low
5,5.285714286,Low
5,4.866666667,Low
25,25,High
10,7.05,Low
10,9.5,High
5,4.764705882,Low
3,3.083333333,Low
9,6.208333333,Low
10,8.714285714,Low
7,8.235294118,High
5,5.75,Low
20,11.7,Low
6,9.888888889,Low
10,5.9375,Low
9,6.888888889,Low
14,9.916666667,Low
25,22.5,High
25,19.16666667,High
15,9.166666667,Low
7,6.733333333,Low
15,10.57142857,High
9,6,Low
15,11.44444444,High
14,7,Low
20,13.25,High
15,9,High
30,19.25,High
5,6.733333333,Low
10,9.454545455,High
6,8.958333333,Low
10,11.5,High
50,40.875,High
12,8.045454546,High
15,10.33333333,High
20,12.5,High
16,11.45833333,High
15,9.225806452,Low
31,20.66666667,High
9,9.1875,Low
16,13.6,High
5,3.576923077,Low
14,11.68181818,Low
9,5.290322581,Low
10,12.25,Low
15,11.55555556,High
3,3.444444444,Low
25,11.07692308,High
6,3.555555556,Low
13,10.83333333,High
6,5.555555556,Low
20,20,High
10,10.36363636,High
12,11,High
10,8.230769231,Low
20,11,High
20,13.23076923,High
6,4.555555556,Low
5,5,Low
16,10.73333333,High
16,13,High
4,4.454545455,Low
20,20,Low
10,7.5,Low
20,20,Low
10,7.4,Low
3,15.28571429,Low
10,6.818181818,Low
6,9.6,Low
25,15,High
5,4.444444444,Low
5,4.111111111,Low
5,5.3,Low
5,3.357142857,Low
8,4.852941177,Low
5,5.75,High
9,7.615384615,Low
20,20,High
10,7,Low
10,10,High
25,12.2,High
52,36.36363636,High
11,6.380952381,High
12,10.22222222,High
15,10,High
10,9.25,Low
25,7.25,High
7,7.3125,Low
10,12,Low
10,10,Low
5,5.227272727,Low
5,3.875,Low
10,11.13636364,High
10,8.428571429,Low
25,48.52941177,High
15,12.5,High
5,7.333333333,Low
14,9.875,High
22,14.82352941,High
10,7.5,Low
4,4.411764706,Low
12,10.875,High
3,3.407407407,Low
11,9.384615385,High
7,6.666666667,Low
10,10.66666667,Low
7,5.1875,Low
11,7.736842105,Low
5,4,Low
3,4.3,Low
10,10,High
7,7.666666667,Low
15,15,High
4,8.5,High
16,13.82352941,High
3,4,Low
15,11.25,Low
8,5.8,Low
75,42.5,High
10,8,High
11,6.852941177,Low
5,4.973684211,Low
16,15.33333333,High
7,8.222222222,Low
7,5.8125,Low
16,8.769230769,High
5,4.454545455,Low
20,13.8,Low
5,3.3,Low
10,7.714285714,Low
10,7.333333333,High
15,9.857142857,High
25,17.91666667,High
7,5.333333333,Low
15,15,High
5,5.5,Low
16,13.5,High
10,10.5,Low
6,4.666666667,Low
5,5.628571429,Low
10,10.5,High
12,5.8125,High
10,7.333333333,Low
15,10.54761905,High
5,8.388888889,Low
5,5.285714286,Low
12,9.733333333,High
11,7.666666667,Low
25,11.4,High
20,12.625,Low
6,8.466666667,Low
14,11.51351351,Low
20,16,High
6,8.583333333,Low
20,17,High
5,3.222222222,Low
50,37.5,High
10,8.9,Low
10,10.5875,High
15,12.5,High
11,10.06666667,High
10,5.340909091,Low
15,9.5,High
10,9.666666667,Low
10,5.884615385,Low
14,6.866666667,Low
10,8.666666667,Low
20,13.75,Low
5,3.375,Low
5,6.666666667,Low
20,17.66666667,High
3,4.2,Low
20,19.6,High
8,7.176470588,Low
7,5.956521739,Low
15,10.85714286,High
15,13.11111111,Low
25,18.2,High
25,24.16666667,High
15,10.125,High
12,8.3,Low
15,15.25,High
4,3.7,Low
20,13.71428571,High
21,19,High
2,4.4375,Low
7,5.266666667,Low
10,8.9375,Low
10,7.5,High
15,9.833333333,High
