Topflight,Balance,Qual_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Club_member,Any_cc_miles_12mo,Phone_sale
0,28143,0,174,1,0,0,0,1,No
0,19244,0,215,2,0,0,0,0,No
0,41354,0,4123,4,0,0,0,1,No
0,14776,0,500,1,0,0,0,0,No
1,97752,0,43300,26,2077,4,0,1,No
0,16420,0,0,0,0,0,1,0,No
0,84914,0,27482,25,0,0,1,1,No
1,20856,0,5250,4,250,1,0,0,No
1,443003,0,1753,43,3850,12,0,1,No
1,104860,0,28426,28,1150,3,0,1,No
0,40091,0,7278,10,0,0,0,1,No
1,96522,0,61105,19,0,0,1,1,Yes
0,43382,0,11150,20,0,0,0,1,No
0,43097,0,3258,6,0,0,0,1,No
0,17648,0,0,0,0,0,0,0,No
0,28495,0,49442,15,0,0,1,1,No
0,51890,0,48963,16,0,0,0,1,No
0,13958,0,4291,5,0,0,0,0,No
1,91473,0,27408,17,0,0,0,1,No
0,23354,0,10447,5,0,0,0,1,No
1,120576,0,58831,23,250,2,0,1,Yes
1,185681,2024,13300,16,1800,9,0,0,No
0,20584,0,3450,11,3450,11,0,0,No
0,66275,0,2533,11,150,1,0,0,No
0,205651,500,4025,21,700,4,0,0,No
0,20726,0,1375,4,0,0,0,0,No
0,18521,0,1227,2,1227,2,0,0,No
0,8828,0,0,0,0,0,0,0,No
1,59763,0,33772,20,100,1,0,1,No
0,19221,0,4655,8,500,1,0,0,No
0,177926,0,20797,13,0,0,0,1,No
0,10021,0,0,0,0,0,0,0,Yes
0,276571,0,42044,23,0,0,0,1,No
0,18047,0,100,1,0,0,0,0,No
0,43832,0,0,0,0,0,0,0,No
1,123759,0,50572,23,2500,5,1,1,Yes
0,23193,0,650,4,550,3,0,0,Yes
0,68666,0,350,2,350,2,1,0,No
1,59990,0,27878,17,0,0,1,1,No
0,2176,0,0,0,0,0,0,0,Yes
0,34616,0,1750,4,500,1,0,0,No
1,10470,0,38094,26,0,0,1,1,No
1,60313,0,10000,26,3250,9,0,0,No
0,619393,0,15008,14,0,0,0,1,No
0,121260,0,18493,18,0,0,0,1,No
1,288865,967,23600,14,2000,4,0,0,No
0,92336,0,11214,6,0,0,0,1,No
1,36924,0,5900,6,300,2,0,0,No
1,70312,0,34678,24,500,1,0,1,No
0,17051,0,1150,4,1150,4,0,0,No
0,108137,0,6368,5,6368,5,0,0,No
0,1300,0,370,1,0,0,0,0,No
0,118531,0,44577,38,0,0,0,1,Yes
1,121395,0,4970,8,650,2,0,0,No
0,38348,0,0,0,0,0,1,0,No
0,14448,0,1625,6,0,0,0,0,No
0,75971,0,34339,14,0,0,0,1,No
0,36298,0,3100,5,600,3,0,0,Yes
0,38077,0,34024,8,0,0,0,1,No
0,95118,0,23188,23,2200,7,0,1,No
0,134457,0,15588,14,0,0,0,1,No
0,19918,0,17601,11,0,0,0,1,No
0,10120,0,0,0,0,0,0,0,No
1,362642,0,28079,8,0,0,0,1,No
0,80250,0,895,2,0,0,0,0,No
1,53914,0,33767,45,5550,29,0,1,Yes
0,9375,0,1750,7,0,0,0,0,No
0,83237,0,35287,18,0,0,0,1,No
0,230715,0,24047,12,0,0,0,1,No
0,47457,0,12621,16,0,0,0,1,No
1,84409,5031,15436,16,1150,4,0,1,No
0,252386,0,39787,13,0,0,1,1,No
0,550367,0,12500,13,50,1,1,1,No
0,12646,0,631,4,631,4,0,0,No
0,123867,0,25308,17,0,0,0,1,No
0,129871,0,15776,22,0,0,0,1,No
1,109380,0,7537,16,0,0,1,1,No
0,111157,0,32883,19,0,0,0,1,No
0,49238,0,38037,18,0,0,0,1,No
0,38896,0,76988,16,556,1,0,1,No
0,4340,0,32685,5,0,0,0,0,No
0,88443,0,1200,3,1200,3,1,0,No
0,8454,0,498,9,0,0,0,1,Yes
0,61990,0,1625,6,0,0,0,0,No
0,24093,0,1750,7,0,0,1,0,No
0,35418,0,58557,18,900,3,0,1,No
0,40284,0,7719,5,0,0,0,1,No
1,609477,0,21422,22,1200,8,0,1,No
0,62553,0,7672,16,700,1,0,1,Yes
1,48433,0,3500,4,500,1,0,0,No
0,20508,0,22250,8,1250,5,0,0,No
0,2000,0,2000,4,2000,4,0,0,No
